ARK	200	214	214$c	700	300$a
ark:/12148/cb46962340n	 $a Jungle city $b Texte imprimé $f Hermann	 $a Vanves $c Hachette collections $d DL 2021¤ $a 91-Palaiseau $c Impr. PPO graphic	Hachette collections¤Impr. PPO graphic	 $3 11907352 $o ISNI0000000121408943 $a Hermann $f 1938-.... $4 070	
ark:/12148/cb46962090c	 $a L'amour égorgé $b Texte imprimé $f Patrice Trigano	 $a Paris $c Maurice Nadeau $d DL 2020¤ $a 94-Choisy-le-Roi $c Impr. Fedrigoni	Maurice Nadeau¤Impr. Fedrigoni	 $3 12898895 $o ISNI0000000121336118 $a Trigano $b Patrice $f 1947-.... $4 070	
ark:/12148/cb46962030h	 $a Le peintre et le gouverneur $b Texte imprimé $f Jean-François Laguionie	 $a Paris $c Maurice Nadeau $d DL 2021¤ $a impr. en Bulgarie	Maurice Nadeau	 $3 11910698 $o ISNI000000012128766X $a Laguionie $b Jean-François $f 1939-.... $4 070	
ark:/12148/cb46974140s	 $a Coming in $b Texte imprimé $e roman $f Robert Branche	 $a Paris $c Fauves éditions $d impr. 2017¤ $a 14-Condé-sur-Noireau $c Impr. Corlet numérique	Fauves éditions¤Impr. Corlet numérique	 $3 16022071 $o ISNI0000000059604096 $a Branche $b Robert $f 1955-.... $4 070	
ark:/12148/cb46974070f	 $a Mary $b Texte imprimé $e roman $f Dominique Lanni	 $a Paris $c Arthaud $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Arthaud¤Normandie roto impr.	 $3 13180017 $o ISNI0000000116315371 $a Lanni $b Dominique $f 1976-.... $4 070	
ark:/12148/cb469672308	 $a Écrit sur le sable $b Texte imprimé $e poèmes secrets $f Pierre Lepère...	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 64-Orthez $c Impr. ICN	Éditions Douro¤Impr. ICN	 $3 11912518 $o ISNI0000000108893518 $a Lepère $b Pierre $f 1944-.... $4 070	
ark:/12148/cb46969410p	 $a La somme de nos vies $b Texte imprimé $e roman $f Sophie Astrabie	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 17730771 $o ISNI0000000500453517 $a Astrabie $b Sophie $4 070	
ark:/12148/cb46977030x	 $a Adorations $b Texte imprimé $f Christophe d'Hallivillée	 $a Paris $c Sens & tonka-l'Une & l'autre $d DL 2021¤ $a 13-La Roque-d'Anthéron $c Impr. Yenooa	Sens & tonka-l'Une & l'autre¤Impr. Yenooa	 $3 13083694 $o ISNI0000000051996101 $a Hallivillée $b Christophe d' $f 1961-.... $4 070	
ark:/12148/cb46941820r	 $a Victor, de la brigade mondaine $b Texte imprimé $f Maurice Leblanc	 $a [Paris] $c "Le Monde" $a Vanves $c Hachette $d DL 2021¤ $a impr. en Espagne	"Le Monde"¤Hachette	 $3 11911878 $o ISNI0000000121235675 $a Leblanc $b Maurice $f 1864-1941 $4 070	
ark:/12148/cb469411304	 $a Colosse $b Texte imprimé $i le maître du jeu $f Anna Wendell	 $a Paris $c Luv $d DL 2021¤ $a impr. en République tchèque	Luv	 $3 17868247 $o ISNI0000000483074856 $a Wendell $b Anna $f 1982-.... $4 070	
ark:/12148/cb46941850p	 $a Le prince aux deux visages $b Texte imprimé $e roman $f Gilbert Sinoué	 $a [Paris] $c le Grand livre du mois $d DL 2021¤ $a 37-Monts $c Impr. Présence graphique	le Grand livre du mois¤Impr. Présence graphique	 $3 12056950 $o ISNI000000012128838X $a Sinoué $b Gilbert $f 1947-.... $4 070	
ark:/12148/cb469948404	 $a Charbonnières et ses églises $b Texte imprimé $f Robert Putigny	 $a Charbonnières-les-Bains $c Charbonnières-les-Bains d'hier à aujourd'hui-Groupe de recherches historiques $d 2017	Charbonnières-les-Bains d'hier à aujourd'hui-Groupe de recherches historiques	 $3 17072533 $o ISNI0000000459720977 $a Putigny $b Robert $f 1914-2013 $4 070	
ark:/12148/cb469650903	 $a Double appel $b Texte imprimé $f Kalvin Kay	 $a Aytré $c Black ink éditions $d DL 2017¤ $a 79-Mauzé-sur-le-Mignon $c Mauzé impr.	Black ink éditions¤Mauzé impr.	 $3 17708160 $o ISNI0000000507784247 $a Kay $b Kalvin $4 070	
ark:/12148/cb46939610m	 $a Une âme à sauver $b Texte imprimé $f Manon Wiertlewski	 $a [Paris] $c Éditions Maïa $d DL 2018¤ $a 14-Condé-sur-Noireau $c Impr. Rapidbook	Éditions Maïa¤Impr. Rapidbook	 $3 17057906 $o ISNI0000000459661233 $a Wiertlewski $b Manon $f 1999?-.... $4 070	
ark:/12148/cb46970400d	 $a Jamais la même vague $b Texte imprimé $f Frédéric Schiffter	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 12111519 $o ISNI0000000039816585 $a Schiffter $b Frédéric $f 1956-.... $4 070	
ark:/12148/cb46970620k	 $a Six $b Texte imprimé $f Julie Marest	 $a [Le Havre] $c Julie Marest $d [2021]	Julie Marest	 $3 16252559 $a Marest $b Julie $f 1979-.... $4 070	
